Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.1__Round_BestOf1__SkillLeft_Boost__SkillRight_Boost
Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.1__Round_BestOf3__SkillLeft_Boost__SkillRight_Stone
Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.2__Round_BestOf3__SkillLeft_Stone__SkillRight_Stone
Bot_Primitive vs Bot_NN | Timer_60__ActInterval_0.1__Round_BestOf3__SkillLeft_Boost__SkillRight_Boost
Bot_Primitive vs Bot_NN | Timer_60__ActInterval_0.2__Round_BestOf3__SkillLeft_Stone__SkillRight_Boost
Bot_Primitive vs Bot_NN | Timer_60__ActInterval_0.2__Round_BestOf3__SkillLeft_Boost__SkillRight_Boost
Bot_Primitive vs Bot_NN | Timer_60__ActInterval_0.1__Round_BestOf3__SkillLeft_Stone__SkillRight_Boost
Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.2__Round_BestOf3__SkillLeft_Boost__SkillRight_Stone
Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.1__Round_BestOf3__SkillLeft_Stone__SkillRight_Stone
Bot_Primitive vs Bot_NN | Timer_45__ActInterval_0.1__Round_BestOf3__SkillLeft_Stone__SkillRight_Boost
